"title","location","publishedAt","companyName","description","applicationsCount","contractType","experienceLevel","workType","sector"
"Business Analyst","United States","2024-09-04","Wipro","About the Company:

Wipro Limited (NYSE: WIT, BSE: 507685, NSE: WIPRO) is a leading technology services and consulting company focused on building innovative solutions that address clients’ most complex digital transformation needs. We leverage our holistic portfolio of capabilities in consulting, design, engineering, operations, and emerging technologies to help clients realize their boldest ambitions and build future-ready, sustainable businesses. A company recognized globally for its comprehensive portfolio of services, strong commitment to sustainability and good corporate citizenship, we have over 250,000 dedicated employees serving clients across 66 countries. We deliver on the promise of helping our customers, colleagues, and communities thrive in an ever-changing world.

A PROUD HISTORY OF OVER 75 YEARS

WE’RE PRESENT IN 66 COUNTRIES

OVER 1,400 ACTIVE GLOBAL CLIENTS




About the Role:

Healthcare BA

Location - USA(Remote)




Responsibilities:

 * 8+ years of experience within the US healthcare industry
 * Solicit, review and analyze business requirements
 * Write business and technical requirements
 * Communicate and validate requirements with stakeholders
 * Validate solution meets business needs
 * Apply technology to enable business solution
 * Work with technology teams to create and deliver high quality system solutions for applications, products and services across technology functions (engineering, operations, capability strategy and delivery.)
 * Consult with users and technology specialists to define, document and analyze business processes and the information systems for supporting those processes
 * Perform analysis and serve as business liaisons to understand and refine business requirements.
 * Provide technical support in developing systems that are cost effective and meet users’ requirements. This function works to create systems that work together in a cohesive manner, enforcing standards and methods consistently across the enterprise.




Qualifications:

Bachelor’s degree

Min 5 years of experience in Information Technology




Equal Opportunity Statement:

We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, caste, creed, religion, gender, marital status, age, ethnic and national origin, gender identity, gender expression, sexual orientation, political orientation, disability status, protected veteran status, or any other characteristic protected by law.




“Expected annual pay for this role ranges from 60,000 to 1,30,000 . Based on the position, the role is also eligible for Wipro’s standard benefits including a full range of medical and dental benefits options, disability insurance, paid time off (inclusive of sick leave), other paid and unpaid leave options.”

","Over 200 applicants","Full-time","Mid-Senior level","Analyst and Health Care Provider","IT Services and IT Consulting"
"Business Analyst, CS Workforce Management","United States","2024-08-23","Netflix","Netflix is one of the world’s leading entertainment services with 278 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

The Role

Netflix is one of the world’s leading entertainment services with over 270 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

The Role

The Business Analyst in Workforce Management plays a critical role in analyzing and optimizing workforce strategies to improve efficiency, productivity, and customer service. This position involves conducting data analysis, developing forecasting models, and collaborating with various departments to ensure optimal staffing levels, resource allocation, and enhanced customer service outcomes. Additionally, the Business Analyst will support strategic planning initiatives, with a focus on BPO global outsourcing and headcount planning.

Responsibilities


 * Collect, analyze, and interpret complex data sets related to workforce metrics to identify trends, patterns, and correlations that inform business decisions.
 * Create and maintain workforce forecasting models that predict future staffing needs, focusing on customer service demands.
 * Develop new methodologies to improve data analysis and predictive modeling.
 * Develop and maintain global headcount plans, ensuring alignment with business objectives and market demands.
 * Analyze performance trends and feedback to identify areas for improvement in workforce management.
 * Monitor and report on KPIs, ensuring alignment with workforce management strategies.
 * Develop reports, visualizations, and presentations to communicate strategic findings and present these insights as recommendations to key stakeholders to aid business decisions.
 * Work closely with Finance and Operations teams to conduct cost-benefit analysis on initiatives designed to maximize the CS organization’s performance while achieving business objectives and customer service goals.
 * Facilitate cross-functional meetings to discuss workforce planning, resource allocation, and customer service improvements.
   
   

Qualifications And Competencies


 * Minimum of 3-5 years of experience in business analysis, workforce management, finance, customer service, or a related field.
 * Proven experience with data analysis, predictive forecast modeling, and customer service metrics.
 * Experience in strategic planning, BPO outsourcing, and global headcount planning is highly desirable.
 * Strong analytical and problem-solving skills.
 * Proficiency in data analysis using tools such as Excel and SQL
 * Excellent written communication, presentation and interpersonal skills.
 * Ability to work independently and as part of a team.
 * Strong understanding of customer service principles and metrics.
 * Knowledge of strategic planning frameworks and tools.
 * Familiarity with BPO practices and vendor management.
 * Understanding of global workforce dynamics and planning.
 * Experience using data visualization tools such as [Tableau, Power BI] to create compelling visualizations and reports.
   
   

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $50,000 - $190,000.

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity of thought and background builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.

Job is open for no less than 7 days and will be removed when the position is filled.","Over 200 applicants","Full-time","Not Applicable","Other","Entertainment Providers"
"Business Analyst","Atlanta, GA","2024-08-02","Donato Technologies, Inc.","Required Fields


 * Number of Positions required
   
   

1


 * Open seat/Role title
   
   

Business Analyst

Project Description

Application development teams are asked to partner to test and migrate their application(s) to AzureAD


 * Required Skills (Be specific)
   
   

Gather and analyze federation & MFA data

Create reports, dashboards and visualizations

Write clear and well-structured requirements

Coordinate federation activities with different teams and vendors

Communicate and validate federation and MFA requirements with relevant stakeholders

Nice to have skills

Azure AD / Microsoft EntraID","170 applicants","Full-time","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Miami, FL","2024-08-20","Carnival Cruise Line","Job ID 7930 Location Miami, FL Date posted 07/29/2024 Job Description

The role of the Business Analyst is to analyze business processes and research industry trends, and to report findings. The position also involves gathering requirements for system enhancements from the various department user groups. Based on the information gathered, the business analyst prepares recommendations for process improvements or system solutions and presents these to the leadership team for review.

Essential Functions:


 * Identifies deficiencies with business processes, automation tools, and products and services offered.
 * Gathers, analyzes and organizes information, including competitive information, which will assist the leadership team in identifying business opportunities. Creates and distributes performance and operational reports.
 * Researches and tracks industry developments, competitive trends and best practices in an effort to present analysis on marketing opportunities and solutions to business challenges.
 * Works with business users to define system enhancements and ensure that operational or application modifications, inherent from proposed system changes, are acceptable and do not impair the operation prior to any development.
 * Develops fact-based feasibility analysis from quantitative metrics and prepares presentations which include recommendations on potential improvements.
   
   
   

Qualifications:


 * Associates degree in Business, Finance or related
 * Bachelor’s degree preferred
 * 2 years of business or financial analysis required. Travel industry experience preferred.
 * Hyperion, Tableau or similar reporting tool. Proficiency with Microsoft Office tools.
 * Analytical skills.
   
   
   

Knowledge, Skills and Abilities:


 * Excellent verbal and written communication skills. Self-motivated, with ability to work independently and collaborating with others.
   
   
   

Physical Demands: Must be able to remain in a stationary position at a desk and/or computer for extended periods of time. Requires regular movement throughout CCL facilities.

Travel: Less than 25% with shipboard travel likely

Work Conditions: Work primarily in a climate controlled environment with minimal safety/health hazard potential. May be requested to work a different shift.

Work Location: This position is classified as “in-office.” As an in-office role, it requires employees to work from a designated Carnival office in South Florida Tuesday through Thursday each week. Employees may work from their homes on Mondays and Fridays. Candidates must be in (or willing to relocate to) the Miami/Ft. Lauderdale area.

At Carnival, your total rewards package is much more than your base salary. All non-sales roles participate in an annual cash bonus program, while sales roles have an incentive plan. Director and above roles may also be eligible to participate in Carnival’s discretionary equity incentive plan. Plus, Carnival provides comprehensive and innovative benefits to meet your needs, including:


 * Health Benefits:
    * Cost-effective medical, dental and vision plans
    * Employee Assistance Program and other mental health resources
    * Additional programs include company paid term life insurance and disability coverage

 * Financial Benefits:
    * 401(k) plan that includes a company match
    * Employee Stock Purchase plan

 * Paid Time Off
    * Holidays – All full-time and part-time with benefits employees receive days off for 7 company-wide holidays, plus an additional floating holiday to be taken at the employee’s discretion.
    * Vacation Time – All full-time employees at the manager and below level start with 14 days/year; director and above level start with 19 days/year. Part-time with benefits employees receive time off based on the number of hours they work, with a minimum of 84 hours/year. All employees gain additional vacation time with further tenure.
    * Sick Time – All full-time employees receive 80 hours of sick time each year. Part-time with benefits employees receive time off based on the number of hours they work, with a minimum of 60 hours each year.

 * Other Benefits
    * Complementary stand-by cruises, employee discounts on confirmed cruises, plus special rates for family and friends
    * Personal and professional learning and development resources including tuition reimbursement
    * On-site preschool program and wellness center at our Miami campus
      
      
      

About Us

In addition to other duties/functions, this position requires full commitment and support for promoting ethical and compliant culture. More specifically, this position requires integrity, honesty, and respectful treatment of others, as well as a willingness to speak up when they see misconduct or have concerns.

Carnival Cruise Line is the most popular cruise brand in North America and operates a fleet of ships designed to foster exceptionally safe, fun and memorable vacation experiences at an outstanding value. Our employees have a responsibility to be accountable for all actions. We consider the environment in all aspects of our business and have a responsibility to put safety and sustainability first. We live and share a positive attitude which is based on fostering an environment of inclusion, trust, a willingness to listen, openness and integrity. Doing this helps us to achieve our ultimate goal, which is to include FUN in everything we do! Speaking of fun, we are officially certified as a Great Place to Work aboard our ships as well as in our global corporate headquarters!

Carnival Corporation & plc and Carnival Cruise Line is an equal employment opportunity/affirmative action employer. In this regard, it does not discriminate against any qualified individual on the basis of sex, race, color, national origin, religion, sexual orientation, age, marital status, mental, physical orsensory disability, or any other classification protected by applicable local, state, federal, and/or international law.

https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/fmlaen.pdf

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf

https://www.dol.gov/sites/dolgov/files/WHD/legacy/files/eppac.pdf

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf

","Over 200 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Travel Arrangements"
"Business Analyst","New York, NY","2024-08-27","Relevante, Inc.","Salary: $ 130,000.00

We have partnered with a financial company in the New York, NY area to provide them with a Business Analyst. Please review the below description and let us know if you are interested.

Prioritized Must Haves For The Business Analyst

#1. Must have experience in loan operations

#2. Loan IQ experience strongly preferred

#3. Business Analyst and Project Management (Waterfall and Agile) experience are required

Requirements For The Business Analyst


 * Bachelor’s degree in Computer Science or a related field, with over 5 years of relevant experience in the financial sector.
 * Strong proficiency in Microsoft Office tools, including Excel, Access, SharePoint, Teams, SQL, and Visual Basic for Applications (VBA), with intermediate programming skills in Excel and Access.
 * Required experience in Business Analysis and Project Management methodologies (Waterfall and Agile).
 * Experience in loan operations is preferred, with at least a fundamental understanding of the workflow for bilateral, syndicated, or agency loans.
 * Familiarity with Loan IQ (version 6 or later) is highly advantageous.
 * Demonstrates strong critical thinking skills and the ability to collaborate effectively with others.
 * Ability to communicate effectively and influence key stakeholders to support proposed strategies and process enhancements.
 * Resourceful with a knack for developing creative problem-solving solutions.
 * Experience in testing and mapping various business processes and protocols.
 * Familiarity with Robotic Process Automation (RPA) is a plus.
 * Excellent time management abilities.
   
   

Other Key Requirements


 * Hybrid Schedule - Must be able to commute to the office a few times per week
 * No sponsorships or visa holders. No Corp-to-Corp.
   
   

Benefits Of The Business Analyst


 * Medical Insurance
 * Dental Insurance
 * Retirement Plans
   
   

About Relevante, Inc. – the Recruiting Firm Representing the Client for this Job

Relevante is an Outplacement Services and Direct Hire recruiting firm. We help our clients provide a soft landing for existing employees, consistent with their statement of values. We also help leading companies find the best talent for their mission critical positions. Our Clients are some of the best companies to work for in the US. Relevante has been consistently identified as one of the most innovative Outplacement Services and Recruiting firms. To stay connected with our network, please follow us on LinkedIn https://www.linkedin.com/company/relevante.","Over 200 applicants","Full-time","Associate","Research, Analyst, and Information Technology","Banking"
"Business Analyst","United States","2024-05-08","Donato Technologies, Inc.","Remote. Candidates must already reside in Texas.

Client requires the services of 3 Business Analyst 2, hereafter referred to as Candidate(s), who meets the general qualifications of Business Analyst 2, Applications/Software Development and the specifications outlined in this document for the Client

All work products resulting from the project shall be considered ""works made for hire"" and are the property of the Client

and may include pre-selection requirements that potential Vendors (and their Candidates) submit to and satisfy criminal background checks as authorized by Texas law. Client will pay no fees for interviews or discussions, which occur during the process of selecting a Candidate(s).

The DFPS IT Division seeks a Worker to perform in a Business Analyst II role to assist in the following:


 * Seeking, gathering, and analyzing information and data from stakeholders and subject matter experts.
 * Converting findings into meaningful documentation for use by the development team.
 * Communicating with technical, non-technical, functional, management and executive staff.
 * Working within cross-functional teams.
 * Taking initiative to develop a foster a collaborative approach among teams before, during and after the requirements gathering process to achieve a common mission, vision, values, and goals.
 * Tracking software development life cycle activity metrics as it relates to requirements and other established metrics.
   
   

The Worker must have a strong Business Analysis background with extensive experience in the following:


 * Experience as a Business Analyst within an Enterprise-level application development environment.
 * Experience working in a fast-paced information technology environment.
 * Experience as a Business Analyst within an Enterprise-level application development environment.
 * Experience developing solid requirements documents with a strong attention to detail to capture project need and scope.
 * Robust skills facilitating and leading groups to clarify and define project requests, needs, scope and priorities, as well as delivering presentations for meetings involving cross-functional teams and including stakeholders.
 * Excellent written and verbal communication skills to provide clear and consistent status updates and inform stakeholders and agency leadership of project progress.
 * Solid experience with the Microsoft Suite of tools (Excel, Word, PowerPoint, SharePoint, MS Project, and Visio).
 * Knowledge of Software Development Life Cycle (SDLC) and Project Management Life Cycle (PMLC) methodologies.
 * Knowledge of Case Management applications a plus but not required.
 * Communicating and listening in a way that is focused on clear expression of, as well as understanding of ideas and concepts that ultimately lead to positive outcomes and results.
 * Knowledge of Texas Project Delivery Framework.
 * Prefer working knowledge of the following DFPS systems/programs (including but not limited to): IMPACT, PACES, PEIRS, ABCS, NEICE, SSCC, Child Placement Portal, and Community Based Care.
   
   

Minimum Requirements

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 5 Required Experience as a Business Analyst in an enterprise level software development environment 5 Required Functional and technical requirements gathering, analysis and documentation with a strong attention to detail 5 Required Experience with the Microsoft Suite of tools (Excel, Word, PowerPoint, Visio, MS Project and SharePoint) 4 Required Developing Use Case documentation and User Stories that lead to clearly defined and numbered project requirements 3 Required Facilitating meetings, requirements gathering sessions and conducting presentations 2 Required Developing and presenting project status updates and reporting on key performance indicators for project success 2 Required Communication skills, both verbal and written 2 Required Knowledge of the Texas Project Delivery Frame 2 Required Knowledge of Software Development Life Cycle 1 Preferred Candidates preferred who have a working knowledge of the following DFPS systems/programs (including but not limited to): IMPACT, PACES, PEIRS, ABCS, NEICE, SSCC, Child Placement Portal, and Community Based Care","Over 200 applicants","Full-time","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","New York, NY","2024-09-05","Tarte Cosmetics","Business Analyst - Key Accounts, North America

 

Responsibilities:

Reporting & Dashboards

 * Develop and maintain weekly/monthly/quarterly/annual dashboards, reports, written recaps and presentations that communicate sales performance, insights and actionable recommendations
 * Present data-driven insights to senior management, recommending strategies to drive and enhance business performance

 Sales & Financial Data Analysis

 * Monitor and analyze sales performance, including sales forecasting, inventory management, and profitability metrics
 * Monitor sku and category performance and productivity for assortment optimizations and rationalization as well as category white space
 * Develop reporting to assess the impact of pricing strategies, promotions, marketing programs and new product launches

Market Analysis:

 * Conduct comprehensive market research to identify trends, consumer preferences, and competitive landscape within the cosmetics industry.
 * Analyze data on market share, product performance, and brand performance to support strategic planning.

  Consumer Insights

 * Gather and analyze consumer feedback and preferences to understand customer needs and optimize product offerings.
 * Collaborate with the marketing team to evaluate the effectiveness of marketing campaigns and potential optimizations

  Project Management

 * Lead and manage projects aimed at improving business processes, increasing operational efficiency, and enhancing customer experience
 * Track project progress, manage timelines, and ensure alignment with business goals

Cross-Functional Collaboration

 * Work closely with key accounts, marketing, field sales operations, and finance teams to align business objectives and drive cohesive strategies.
 * Assist in the development of retailer business cases for new products, initiatives, and investments

 

Qualifications:

 * 5+ years of experience as a Business or Finance Analyst, preferably within the cosmetics or beauty industry
 * BA/BS in Business Administration, Finance, Accounting, Economics, Marketing, or related field
 * Proficiency in data analysis tools (e.g., Excel, Tableau, Power BI) and statistical software
 * Strong analytical and problem-solving skills with the ability to interpret complex data and make informed decisions
 * Excellent written and verbal communication skills, with the ability to convey complex information to non-technical stakeholders
 * Knowledge of the cosmetics industry, including retailers, trends, consumer behavior, and competitive landscape
 * Experience with SAP, CRM systems, e-commerce analytics, and digital marketing metrics is preferred.
 * Highly organized, detail-oriented, and capable of managing multiple projects and deadlines simultaneously with sense of urgency
 * Self stater, ability to work independently and as part of a team in a fast-paced environment



Our Perks:

 * Salary range: $80,000-100,000 (Compensation will depend on a variety of factors, including but not limited to skill level, relevant work experience & education)
 * Medical, dental, vision, 401K plan & access to health & wellness programs
 * Paid vacation, holidays, summer Fridays, birthdays off, volunteer time & more
 * Makeup gratis, employee discount on tarte.com, team give back initiatives
 * Friendly, fun, creative & collaborative work environment  ","Over 200 applicants","Full-time","Mid-Senior level","Analyst","Personal Care Product Manufacturing"
"Business Analyst","United States","2024-07-18","Donato Technologies, Inc.","Remote

Client requires the services of 1 Business Analyst 3, hereafter referred to as Candidate(s), who meets the general qualifications of Business Analyst 3, Applications/Software Development and the specifications outlined in this document for the Client

All work products resulting from the project shall be considered ""works made for hire"" and are the property of the Client and may include pre-selection requirements that potential Vendors (and their Candidates) submit to and satisfy criminal background checks as authorized by Texas law. Client will pay no fees for interviews or discussions, which occur during the process of selecting a Candidate(s).

The Business Analyst (BA) position at the Client works on multiple projects that support the mission of the agency of improving outcomes for Texas students.

This position performs advanced, senior-level business analysis work. The position may support more than one project or be assigned to special projects at any time. The business analyst serves as the conduit between the program/customer community and the software development team through which requirements flow. This BA will be involved at some level throughout the entire software development life cycle. Upon establishment of the requirements baseline, the focus is shifted towards the management of the requirements specification and verifying the fulfillment of all requirements, including requirements for enhancements post-implementation.

Minimum Requirements

II. CANDIDATE SKILLS AND QUALIFICATIONS

Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity. Years Required/Preferred Experience 8 Required Eliciting requirements from interviews with customers and creating well-written system requirements documents 8 Required Software Development Life Cycle (SDLC) 8 Required Business process re-engineering and software process flow improvement 8 Required Development of user stories and use cases that conform to business analysis best practices 8 Required Designing mockups and/or wireframes that conform to UX best practices 5 Required Strong communication and facilitation skills 5 Required Strong writing and organization skills 3 Preferred Demonstrated work experience with the requirements management software ""Modern Requirements"" 3 Preferred Demonstrated work experience with the issue tracking software ""Atlassian Jira"" 2 Preferred Demonstrated experience working for or closely with TEA or another state or local education agency","Over 200 applicants","Full-time","Associate","Research, Analyst, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Washington DC-Baltimore Area","2024-08-23","RAZOR","Razor is looking for quality Business Analyst candidates to work on a 100% remote work opportunity with our government contracted federal agency, NSF.

Candidates will be responsible for interacting with the project team, multiple other project teams, and with clients to perform functional & technical requirements analysis, documentation, and validation for new and existing software development. This individual will create new or update existing user stories, acceptance criteria, assist in the gathering meeting notes, preparation of weekly status reports and presenting status updates to the team and client. As needed, the analyst will help facilitate team and stakeholder discussions, remove team impediments, and coordinate with other scrum teams to deliver high quality products.




Required Skills:

 * Experience/understanding for developing requirements documentation such as: User Stories, System Requirements, Use Cases and Acceptance Criteria
 * Ability to analyze user requirements, procedures, and problems to automate or improve existing systems and review computer system capabilities, workflow, and scheduling limitations.
 * Knowledge of Software Development Agile Frameworks, including Scaled Agile, Scrum and Kanban
 * Ability to conduct necessary research and provide in-depth analysis to resolve production issues
 * Ability to maintain ownership of tasks until resolution, manage competing priorities, and provide timely solutions to the team, while remaining flexible with continually changing priorities
 * Ability to serve as the liaison between the project manager, development team, and client to clarify requirements, confirm system behavior, delegate issues & support request assignments and escalate issues to the Project Manager/Scrum Lead
 * Understanding of Screen and User Interface designs (wireframes), Front End Test Documentation (Sprint Review), User Guides/Online Help documentation, Release Notes, End User Communication and Training materials
 * Proficient in Microsoft Suite: Word, PowerPoint, Visio, SharePoint




Preferred Skills:

 * Ability to learn quickly, self-starter and detail oriented
 * Ability to analyze disparate systems to identify gaps and potential impacts
 * Ability to develop business workflows
 * Experience using Jira and Confluence for requirements documentation
 * Experience working with stakeholders and product owner to define the target state of a system and identify/document gap for software applications
 * Prior experience on a successful scrum team, including experience with sprint ceremonies such as sprint, planning, backlog refinement, demos, and retrospectives
 * Excellent communication skills (written and oral) with a demonstrated ability to develop presentation materials, lead and facilitate team meetings sessions
 * Experience/understanding of SQL and completing database queries to support analysis
 * Experience using Atlassian tools (JIRA + Confluence) or similar products

","Over 200 applicants","Contract","Mid-Senior level","Analyst, Consulting, and Information Technology","IT Services and IT Consulting"
"Business Analyst","Denver, CO","2024-08-28","Inceed","Compensation: $50-60/hr (DOE)

Location: Denver, CO

Business Analyst

Inceed has partnered with a great company to help find a skilled Business Analyst to join their team!

Responsibilities:


 * Collaborate with teams across trucking, rail, and marine sectors to manage software solutions, focusing on SaaS migrations, vendor management, application configuration, and testing.
 * Utilize technologies to support sector-specific needs and enhancements.
 * Work closely with a team of developers, bridging the gap between technical and functional aspects to ensure seamless operations.
   
   

Required Qualifications & Experience:


 * Strong analytical skills and communication.
 * Strong project management skills to understand business processes, gather requirements, and work closely with stakeholders to implement and support software solutions.
 * Experience in logistics is highly desirable.
   
   

Perks & Benefits:


 * 3 different medical health insurance plans, dental, and vision insurance
 * Voluntary and Long-term disability insurance
 * Paid Time Off, 401k, and Holiday Pay*
 * Weekly direct deposit or pay card deposit
   
   

If you are interested in learning more about the Business Analyst opportunity, please submit your resume for consideration. We are unable to provide sponsorship at this time.

We are Inceed, a staffing and direct placement firm who believes in the possibility of something better. Our mission is simple: We’re here to help every person, whether client, candidate, or employee, find and secure what’s better for them.

Inceed is an equal opportunity employer. Inceed prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.

#MON

","Over 200 applicants","Contract","Mid-Senior level","Research, Analyst, and Information Technology","Staffing and Recruiting"
